Name;Longitude;Latitude;PosErrorDirection;PosErrorLambda1;PosErrorLambda2;IsDirected;Direction;ConfInt;Power;MaxPowerUsedForTowerEstimationbyPE;TowerID;MCC;MNC;TAC;CellIdentity;NRARFCN;PhyCellID;SSBIndex;NCI
gNodeB - ID:46200651/187 PCI:320;103.969022;1.321127;-43.691441;0.184639;0.137693;1;180;88;30;-47.7;9;525;3;22001;16206779;431050;320;0;11827366843
gNodeB - ID:47046411/186 PCI:765;103.918772;1.304793;-22.424673;6.866679;6.711504;1;0;360;30;-69.5;279;525;3;23001;14617530;431050;765;0;12043881402
gNodeB - ID:41920643/234 PCI:370;103.886813;1.295676;-177.968582;6.876192;6.825850;1;0;360;30;-61.9;39;525;3;12001;11043818;637440;370;2;10731684842
gNodeB - ID:41920643/235 PCI:369;103.883237;1.295567;-1.847991;10.317295;10.159394;1;0;360;30;-74.7;214;525;3;12001;11043819;637440;369;4;10731684843
gNodeB - ID:41926723/233 PCI:432;103.967375;1.328529;-157.032074;0.243719;0.142048;1;70;77;30;-67.2;141;525;3;22001;12600297;637440;432;0;10733241321
gNodeB - ID:41926723/234 PCI:434;103.967375;1.328529;-157.032074;0.243719;0.142048;1;190;79;30;-67.2;141;525;3;22001;12600298;637440;434;1;10733241322
gNodeB - ID:41926723/235 PCI:433;103.967375;1.328529;-157.032074;0.243719;0.142048;1;310;81;30;-67.2;141;525;3;22001;12600299;637440;433;5;10733241323
gNodeB - ID:41939843/235 PCI:29;103.935044;1.305531;-14.658345;2.090775;1.573307;1;290;228;30;-70.6;193;525;3;23001;15959019;637440;29;4;10736600043
gNodeB - ID:41952323/233 PCI:15;103.905910;1.299739;-25.740211;3.675581;3.606247;1;70;360;30;-54.6;27;525;3;23001;2376681;637440;15;3;10739794921
gNodeB - ID:41952323/234 PCI:16;103.905616;1.299616;-11.607375;0.613972;0.575880;1;260;353;30;-63.1;248;525;3;23001;2376682;637440;16;3;10739794922
gNodeB - ID:43523523/233 PCI:37;103.833318;1.270716;-119.162697;0.588523;0.511027;1;80;165;30;-57.4;44;525;3;12001;1950697;637440;37;5;11142022121
gNodeB - ID:43523523/235 PCI:38;103.833318;1.270716;-119.162697;0.588523;0.511027;1;260;157;30;-57.4;44;525;3;12001;1950699;637440;38;1;11142022123
gNodeB - ID:43773123/234 PCI:730;103.962200;1.335349;-59.396748;0.828173;0.676086;1;30;360;30;-64.3;61;525;3;22001;15516650;637440;730;0;11205919722
gNodeB - ID:43949123/233 PCI:372;103.951828;1.312348;-22.208101;0.357184;0.184381;1;80;261;30;-51.0;109;525;3;23001;10241001;637440;372;1;11250975721
gNodeB - ID:43949123/234 PCI:374;103.951828;1.312348;-22.208101;0.357184;0.184381;1;260;245;30;-51.0;109;525;3;23001;10241002;637440;374;4;11250975722
gNodeB - ID:43998723/233 PCI:140;103.924768;1.305405;-15.358794;1.743485;1.610295;1;70;360;30;-46.0;48;525;3;23001;6161385;637440;140;2;11263673321
