Time,Operator,Technology,RSRP,RSRQ,IP Thrpt UL,Network Thrpt UL,Lat,Long,PCI,Speed o.g.
2024-11-22 12:18:37.079,SGP-M1,5G-NR,-84.1,-12.7,0.002,0.111,1.29219,103.809958,705.0,0.0
2024-11-22 12:18:38.002,SGP-M1,5G-NR,-82.7,-12.5,0.003,0.145,1.29219,103.809958,705.0,0.0
2024-11-22 12:18:38.573,SGP-M1,5G-NR,-82.6,-13.2,0.002,0.126,1.29219,103.809958,705.0,0.0
2024-11-22 12:18:39.569,SGP-M1,5G-NR,-82.5,-12.8,0.002,0.129,1.29219,103.809958,705.0,0.0
2024-11-22 12:18:40.265,SGP-M1,5G-NR,-83.2,-13.7,0.003,0.147,1.29219,103.809958,705.0,0.0
2024-11-22 12:18:41.016,SGP-M1,5G-NR,-83.6,-13.5,0.002,0.148,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:41.776,SGP-M1,5G-NR,-80.8,-12.6,0.002,0.139,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:42.276,SGP-M1,5G-NR,-81.8,-12.9,0.003,0.162,1.292193,103.809958,705.0,0.0
2024-11-22 12:18:42.871,SGP-M1,5G-NR,-82.0,-10.8,0.002,0.136,1.292193,103.809958,639.0,0.0
2024-11-22 12:18:43.553,SGP-M1,5G-NR,-80.8,-10.8,0.002,0.066,1.292194,103.809957,639.0,0.0
2024-11-22 12:18:44.375,SGP-M1,5G-NR,-81.5,-10.7,0.002,0.102,1.292196,103.809956,639.0,0.0
2024-11-22 12:18:45.071,SGP-M1,5G-NR,-81.3,-10.8,0.003,0.076,1.292196,103.809956,639.0,0.0
2024-11-22 12:18:46.025,SGP-M1,5G-NR,-80.9,-10.8,0.002,0.086,1.292197,103.809956,639.0,0.0
2024-11-22 12:18:46.915,SGP-M1,5G-NR,-81.2,-10.8,0.002,0.1,1.292197,103.809956,639.0,0.0
2024-11-22 12:18:47.501,SGP-M1,5G-NR,-81.3,-10.8,0.002,0.119,1.292197,103.809956,639.0,0.0
2024-11-22 12:18:48.089,SGP-M1,5G-NR,-81.2,-10.8,0.002,0.098,1.292196,103.809956,639.0,0.0
2024-11-22 12:18:49.000,SGP-M1,5G-NR,-81.6,-10.8,0.003,0.082,1.292196,103.809956,639.0,0.0
2024-11-22 12:18:49.500,SGP-M1,5G-NR,-81.9,-11.4,0.002,0.098,1.292195,103.809956,639.0,0.0
2024-11-22 12:18:50.121,SGP-M1,5G-NR,-80.9,-10.7,0.002,0.109,1.292194,103.809956,639.0,0.0
2024-11-22 12:18:51.000,SGP-M1,5G-NR,-81.6,-10.8,0.003,0.094,1.292194,103.809956,639.0,0.0
2024-11-22 12:18:51.545,SGP-M1,5G-NR,-82.2,-10.9,0.002,0.114,1.292193,103.809956,639.0,0.0
2024-11-22 12:18:52.575,SGP-M1,5G-NR,-83.9,-12.0,0.002,0.118,1.292193,103.809956,639.0,0.0
2024-11-22 12:18:53.075,SGP-M1,5G-NR,-84.4,-11.7,0.003,0.105,1.292194,103.809957,639.0,0.0
2024-11-22 12:18:53.664,SGP-M1,5G-NR,-85.7,-13.1,0.002,0.111,1.292194,103.809957,639.0,0.0
2024-11-22 12:18:54.500,SGP-M1,5G-NR,-83.7,-12.1,0.003,0.097,1.292193,103.809958,639.0,0.0
2024-11-22 12:18:55.017,SGP-M1,5G-NR,-84.6,-12.4,0.002,0.079,1.292193,103.809959,639.0,0.0
2024-11-22 12:18:55.665,SGP-M1,5G-NR,-82.5,-11.1,0.002,0.099,1.292193,103.809959,639.0,0.0
2024-11-22 12:18:56.166,SGP-M1,5G-NR,-81.6,-10.8,0.003,0.081,1.292193,103.80996,639.0,0.0
2024-11-22 12:18:57.115,SGP-M1,5G-NR,-83.5,-10.9,0.002,0.107,1.292193,103.80996,639.0,0.0
2024-11-22 12:18:58.115,SGP-M1,5G-NR,-81.4,-10.8,0.002,0.085,1.292193,103.80996,639.0,0.0
2024-11-22 12:18:58.704,SGP-M1,5G-NR,-81.0,-10.8,0.003,0.139,1.292193,103.80996,639.0,0.0
2024-11-22 12:18:59.205,SGP-M1,5G-NR,-82.1,-10.7,0.002,0.128,1.292192,103.80996,639.0,0.0
2024-11-22 12:19:00.155,SGP-M1,5G-NR,-88.1,-11.9,0.002,0.104,1.292191,103.80996,639.0,0.0
2024-11-22 12:19:01.001,SGP-M1,5G-NR,-87.3,-11.3,0.003,0.097,1.292191,103.80996,639.0,0.0
2024-11-22 12:19:01.501,SGP-M1,5G-NR,-85.4,-11.2,0.002,0.107,1.29219,103.80996,639.0,0.0
2024-11-22 12:19:02.195,SGP-M1,5G-NR,-86.3,-11.6,0.002,0.111,1.292189,103.809961,639.0,0.0
2024-11-22 12:19:03.001,SGP-M1,5G-NR,-88.2,-12.5,0.003,0.086,1.292189,103.809961,639.0,0.0
2024-11-22 12:19:03.500,SGP-M1,5G-NR,-91.3,-13.6,0.002,0.104,1.292188,103.809962,639.0,0.0
2024-11-22 12:19:04.156,SGP-M1,5G-NR,-83.2,-12.0,0.002,0.123,1.292187,103.809962,705.0,0.0
