Time,SS-RSRP,SS-RSRQ,SS-SINR,Distance to BTS,Operator,Home Operator,Technology,MCC,MNC,Latitude,Longitude,PCI 5G NR
12/10/2024 11:38:01,-110,-18.7,,,SingTel,SingTel,5G NR,525,1,1.27013200,103.86451200,422
12/10/2024 11:38:01,-109.1,-17.8,,,SingTel,SingTel,5G NR,525,1,1.27013200,103.86451200,591
12/10/2024 11:38:00,-144,-36.9,,,SingTel,SingTel,5G NR,525,1,1.27013800,103.86453200,289
12/10/2024 11:38:00,-108.8,-19.7,,,SingTel,SingTel,5G NR,525,1,1.27013800,103.86453200,422
12/10/2024 11:38:00,-102,-14.4,,,SingTel,SingTel,5G NR,525,1,1.27013800,103.86453200,591
12/10/2024 11:38:00,-112.4,-21.4,,,SingTel,SingTel,5G NR,525,1,1.27013800,103.86453200,849
12/10/2024 11:38:00,-111.6,-21.4,,,SingTel,SingTel,5G NR,525,1,1.27013800,103.86453200,289
12/10/2024 11:38:00,-115.4,-23.7,,,SingTel,SingTel,5G NR,525,1,1.27013800,103.86453200,422
12/10/2024 11:38:00,-102.7,-14.5,,,SingTel,SingTel,5G NR,525,1,1.27013800,103.86453200,591
12/10/2024 11:38:00,-116.7,-24.3,,,SingTel,SingTel,5G NR,525,1,1.27013800,103.86453200,849
12/10/2024 11:37:59,-109.7,-20,,,SingTel,SingTel,5G NR,525,1,1.27014600,103.86455300,289
12/10/2024 11:37:59,-115.3,-23,,,SingTel,SingTel,5G NR,525,1,1.27014600,103.86455300,422
12/10/2024 11:37:59,-104.4,-15.5,,,SingTel,SingTel,5G NR,525,1,1.27014600,103.86455300,591
12/10/2024 11:37:59,-129.5,-28.8,,,SingTel,SingTel,5G NR,525,1,1.27014600,103.86455300,849
12/10/2024 11:37:59,-105.9,-18.3,,,SingTel,SingTel,5G NR,525,1,1.27014600,103.86455300,289
12/10/2024 11:37:59,-109.9,-20.7,,,SingTel,SingTel,5G NR,525,1,1.27014600,103.86455300,422
12/10/2024 11:37:59,-105.5,-16.1,,,SingTel,SingTel,5G NR,525,1,1.27014600,103.86455300,591
12/10/2024 11:37:58,-108.4,-18.7,,,SingTel,SingTel,5G NR,525,1,1.27015500,103.86457500,422
12/10/2024 11:37:58,-103.7,-14.7,,,SingTel,SingTel,5G NR,525,1,1.27015500,103.86457500,591
12/10/2024 11:37:58,-113.9,-22.8,,,SingTel,SingTel,5G NR,525,1,1.27015500,103.86457500,422
12/10/2024 11:37:58,-104.1,-15.6,,,SingTel,SingTel,5G NR,525,1,1.27015500,103.86457500,591
12/10/2024 11:37:57,-107.9,-19.2,,,SingTel,SingTel,5G NR,525,1,1.27016200,103.86459800,422
12/10/2024 11:37:57,-105.4,-16.6,,,SingTel,SingTel,5G NR,525,1,1.27016200,103.86459800,591
12/10/2024 11:37:57,-108,-19.1,,,SingTel,SingTel,5G NR,525,1,1.27016200,103.86459800,422
12/10/2024 11:37:57,-107.6,-16.8,,,SingTel,SingTel,5G NR,525,1,1.27016200,103.86459800,591
