Lat,Long,SS-RSRP,Network Thrpt DL
1.299931,103.78142,-70.7,294.714
1.299931,103.78142,-70.7,294.714
1.299931,103.78142,-70.7,294.714
1.299931,103.78142,-70.7,286.818
1.299931,103.78142,-70.7,286.818
1.299931,103.78142,-71.8,286.818
1.299931,103.78142,-71.8,286.818
1.299931,103.78142,-71.8,286.818
1.299931,103.78142,-71.8,292.834
1.299931,103.78142,-71.8,292.834
1.299931,103.78142,-74.2,292.834
1.299931,103.78142,-74.2,292.834
1.299931,103.78142,-74.2,292.834
1.299931,103.78142,-74.2,288.191
1.299931,103.78142,-74.2,288.191
1.299931,103.78142,-74.2,288.191
1.299931,103.78142,-74.2,288.191
1.299931,103.78142,-74.2,288.191
1.299931,103.78142,-72.1,288.191
1.299931,103.78142,-72.1,287.414
1.299931,103.78142,-72.1,287.414
1.299931,103.78142,-72.1,287.414
1.299931,103.78142,-72.5,287.414
1.299931,103.78142,-72.5,287.414
1.299931,103.78142,-72.5,287.414
1.299931,103.78142,-72.5,296.519
1.299931,103.78142,-72.5,296.519
1.299931,103.78142,-72.5,296.519
1.299931,103.78142,-70.3,296.519
1.299931,103.78142,-70.3,296.519
1.299931,103.78142,-70.3,296.519
1.299931,103.78142,-70.3,286.562
1.299931,103.78142,-70.3,286.562
1.299931,103.78142,-70.3,286.562
1.299931,103.78142,-71.4,286.562
1.299931,103.78142,-71.4,286.562
1.299931,103.78142,-71.4,286.562
1.299931,103.78142,-71.4,292.054
1.299927,103.781418,-71.4,292.054
1.299927,103.781418,-71.4,292.054
1.299927,103.781418,-71.4,292.054
1.299927,103.781418,-72.6,292.054
1.299927,103.781418,-72.6,292.054
1.299927,103.781418,-72.6,292.054
1.299927,103.781418,-72.6,291.087
1.299927,103.781418,-72.6,291.087
1.299927,103.781418,-75.3,291.087
1.299927,103.781418,-75.3,291.087
1.299927,103.781418,-75.3,291.087
1.299927,103.781418,-75.3,291.943
1.299927,103.781418,-75.3,291.943
1.299927,103.781418,-75.3,291.943
1.299927,103.781418,-74.8,291.943
1.299927,103.781418,-74.8,291.943
1.299927,103.781418,-74.8,291.943
1.299927,103.781418,-74.8,284.62
1.299927,103.781418,-74.8,284.62
1.299927,103.781418,-74.8,284.62
1.299927,103.781418,-74.1,284.62
1.299927,103.781418,-74.1,284.62
1.299927,103.781418,-74.1,284.62
1.299927,103.781418,-74.1,284.39
1.299927,103.781418,-74.1,284.39
1.299927,103.781418,-74.1,284.39
1.299927,103.781418,-72.9,284.39
1.299927,103.781418,-72.9,284.39
1.299927,103.781418,-72.9,284.39
1.299927,103.781418,-72.9,299.675
1.299927,103.781418,-72.9,299.675
1.299927,103.781418,-72.9,299.675
1.299927,103.781418,-71.7,299.675
1.299927,103.781418,-71.7,299.675
1.299927,103.781418,-71.7,299.675
1.299927,103.781418,-71.7,293.672
1.299927,103.781418,-71.7,293.672
1.299927,103.781418,-71.7,293.672
1.299927,103.781418,-71.7,225.663
1.299927,103.781418,-71.7,225.663
1.299927,103.781418,-71.7,225.663
1.299927,103.781418,-71.8,225.663
1.299923,103.781416,-71.8,225.663
1.299923,103.781416,-71.8,225.663
1.299923,103.781416,-71.8,225.663
1.299923,103.781416,-71.8,110.86
1.299923,103.781416,-71.8,110.86
1.299923,103.781416,-71.8,110.86
1.299923,103.781416,-71.8,110.86
1.299923,103.781416,-71.8,110.86
